0|iata_code|1|city_rus
ATN|ATN|Наматанай|Наматанай
ATO|ATO|Афины|Афины
ATP|ATP|Айтейп|Айтейп
ATQ|ATQ|Амритсар|Амритсар
ATR|ATR|Атар|Атар
ATS|ATS||
ATT|ATT||
ATU|ATU||
ATV|ATV|Ати|Ати
ATW|ATW|Эпплтон|Эпплтон
ATX|ATX|Атбасар|Атбасар
ATY|ATY||
ATZ|ATZ|Асьют|Асьют
AUA|AUA||
AUB|AUB||
AUC|AUC|Араука|Араука
AUD|AUD||
AUE|AUE||
AUF|AUF||
AUG|AUG||
AUH|AUH|Абу-Даби|Абу-Даби
AUI|AUI||
AUJ|AUJ|Амбунти|Амбунти
AUK|AUK||
AUL|AUL||
AUM|AUM|Остин|Остин
AUN|AUN|Обурн|Обурн
AUO|AUO|Обурн|Обурн
AUP|AUP|Агаун|Агаун
AUQ|AUQ||
AUR|AUR|Орийак|Орийак
AUT|AUT|Атауро|Атауро
AUU|AUU||
AUV|AUV||
AUW|AUW||
AUX|AUX||
AUY|AUY|Анейтьюм|Анейтьюм
AUZ|AUZ||
AVA|AVA||
AVB|AVB||
AVF|AVF|Аворьяз|Аворьяз
AVG|AVG|Овернь|Овернь
AVI|AVI||
AVK|AVK||
AVL|AVL||
AVN|AVN|Авиньон|Авиньон
AVO|AVO||
AVP|AVP||
AVU|AVU|Аву-Аву|Аву-Аву
AVV|AVV|Гелонг|Гелонг
AVW|AVW|Туксон|Туксон
AVX|AVX||
AWA|AWA|Авасса|Авасса
AWB|AWB|Аваба|Аваба
AWD|AWD|Анива|Анива
AWE|AWE|Алове|Алове
AWH|AWH|Аварех|Аварех
AWK|AWK||
AWM|AWM||
AWN|AWN||
AWP|AWP||
AWR|AWR|Авар|Авар
AWZ|AWZ|Ахваз|Ахваз
AXA|AXA||
AXB|AXB||
AXC|AXC||
AXD|AXD|Александрополи|Александрополи
AXE|AXE||
AXG|AXG||
AXK|AXK|Атак|Атак
AXL|AXL|Александрия|Александрия
AXM|AXM|Армения|Армения
AXN|AXN|Александрия|Александрия
AXP|AXP||
AXR|AXR||
AXS|AXS||
AXT|AXT|Акита|Акита
AXU|AXU|Аксум|Аксум
AXV|AXV||
AXX|AXX||
AYA|AYA|Айапел|Айапел
AYC|AYC|Аякучо|Аякучо
AYD|AYD||
AYE|AYE||
AYG|AYG|Ягуара|Ягуара
AYH|AYH||
AYI|AYI|Яри|Яри
AYK|AYK|Аркалык|Аркалык
AYL|AYL||
AYN|AYN|Аньян|Аньян
AYO|AYO||
AYP|AYP|Аякучо|Аякучо
AYQ|AYQ|Айерс Рок|Айерс Рок
AYR|AYR|Эйр|Эйр
AYS|AYS||
AYT|AYT|Анталия|Анталия
AYU|AYU|Айюра|Айюра
AYW|AYW|Аяваси|Аяваси
AYZ|AYZ||
AZB|AZB|Амазон-Бей|Амазон-Бей
AZD|AZD|Язд|Язд
AZG|AZG|Апацинган|Апацинган
AZI|AZI|Абу-Даби|Абу-Даби
AZN|AZN|Андижан|Андижан
AZO|AZO|Каламазу|Каламазу
AZP|AZP|Мексико Сити|Мексико Сити
AZR|AZR||
